NonTerminals,TK_ASSIGN,TK_ID,TK_NUM,TK_RNUM,TK_IPP,TK_OPP,TK_FUNC,TK_OSQ,TK_CSQ,TK_SCLN,TK_RET,TK_END,TK_MAIN,TK_INT,TK_FLOAT,TK_READ,TK_CALL,TK_PRINT,TK_PRINTLN,TK_ORD,TK_CRD,TK_WHILE,TK_EWHILE,TK_IF,TK_ENDIF,TK_ELSE,TK_EQ,TK_LTE,TK_LESS,TK_GTE,TK_GRTR,TK_NOT,TK_NOTEQ,TK_AND,TK_OR,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_BREAK,TK_COMMA,TK_GLOBAL,TK_VOID,$,TK_STRLIT
<Program>,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
<O_functions>,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<main_function>,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<stmts>,,,,,,,,,,,,6,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<O_stmts>,,7,,,,,,7,,,8,8,,,,7,7,7,7,,,7,8,7,8,8,,,,,,,,,,,,,,7,,,,,
<stmt>,,11,,,,,,11,,,,,,,,12,12,12,12,,,10,,9,,,,,,,,,,,,,,,,14,,,,,
<gen_stmt>,,,,,,,,,,,,,,,,16,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,
<print_stmts>,,,,,,,,,,,,,,,,,,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,
<print_stmt>,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
<println_stmt>,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
<all_var>,,24,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
<id>,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<id_1>,27,,,,,,,26,27,27,,,,,,,,,,,27,,,,,,27,27,27,27,27,,27,,,27,27,27,27,,27,,,,
<id_2>,,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<read_stmt>,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<declrtv_stmts>,,32,,,,,,32,,,,32,,31,31,32,32,32,32,,,32,,32,,,,,,,,,,,,,,,,32,,,,,
<declrtv_stmt>,,,,,,,,,,,,,,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<d_s>,,,,,,,,35,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
<global_stmt>,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,
<type>,,,,,,,,,,,,,,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<arithmetic_expression>,,40,40,40,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
<a_e>,,,,,,,,,,43,,,,,,,,,,,43,,,,,,,,,,,,,,,41,42,,,,,,,,
<term>,,44,44,44,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
<t_e>,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,45,46,,,,,,
<factor>,,49,49,49,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,
<var>,,52,50,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Boolean_expression>,,54,54,54,,,,,,,,,,,,,,,,53,,,,,,,,,,,,55,,,,,,,,,,,,,
<b_e>,,,,,,,,,,,,,,,,,,,,,57,,,,,,56,56,56,56,56,,56,,,,,,,,,,,,
<logical_operator>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,59,,,,,,,,,,
<relational_operator>,,,,,,,,,,,,,,,,,,,,,,,,,,,60,61,62,64,63,,65,,,,,,,,,,,,
<cond_stmt>,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,
<c_s>,,,,,,,,,,,,,,,,,,,,,,,,,67,68,,,,,,,,,,,,,,,,,,,
<iterative_stmt>,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,
<funcall_Stmt>,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<list_var>,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<next>,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,
<break_stmt>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,
<assignm_stmt>,,75,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<function>,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<input_parameters>,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<i_p>,,,,,,,,,,,,,,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,
<output_parameters>,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<o_p>,,,,,,,,,,,,,,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,
<parameter_list>,,,,,,,,,,,,,,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<nextpl>,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,
<return_stmt>,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<r_s>,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,
